,,,,,,,,,,
,"프로그램 준비 시간 & 정리 시간까지 포함해서 작성하기
(7월 20일까지)",,,,,,,,,
,,,,,,,,,,
,모두무도해(무도회) 프로그램 큐시트,,,,,,,,,
,순서,시간,종료 예정 시간,장소,내용,세부 내용,필요 재료 (전부 적기),"담당자 
(프로그램 팀원 명)","필요 도우미 수 
(도우미 배정은 대표단에서 일괄 진행, 특별히 희망하는 도우미는 밑에 추가 내용에 작성해주세요!)","도우미 역할 
(최대한 구체적으로)"
,1,17:00,18:30,대강당,시설 및 준비물품 세팅,,"시설
- 테이블 8개
- 마이크 2개
- 스피커4개
- 핀 마이크 2개
- 아이스 박스 4개
- 의자 15개
- 가벽
- 선풍기 12~14개

카페부스 준비 물품
- 카페부스 음료
- 종이컵
- 음료 디스펜서

포토부스 준비 물품
- 포토월
- 선글라스
- 머리띠
- 전구
- 풍선

그 외 기타 물품
- 경품 추첨함
- 도장
- 빙고판 (600장)
- 도우미 머리띠
- 야광봉 700개",,,
,2,18:45,19:00,대강당,입장 안내,조별 정해진 구역으로 안내,,지명 필요,,
,3,19:00,19:10,,"1부
(30')",MC 멘트 (단체 사진 공지),"음향, 조명","[총괄+무대]
이유정
이민우

[카페 부스]
권시현

[포토 부스]
이슬아 , 정은지",,
,4,19:10,19:30,,,"춤 배우기  + 로테

(MC가 상황 보고 시간 조절)",춤 동작 전광판에 띄우기,,,
,5,19:30,20:00,,"2부
(30')","자유 무도회

대중적인 노래 필요~~","빙고판 수거: 2부 종료 5분 전

포토 부스, 카페 부스 개장",,,
,6,20:00,20:30,,"3부
(30')",MC 오프닝 멘트,,,,
,,,,,,"파티 (자유 댄스 가능)

당첨자 추첨 포함

라인 댄스로 마무리? (의준 재량)","음향, 조명(불 끄고 무대 사이키만)",,"[무대 위]
정의준

[무대 아래]
",
,7,20:30,20:45,,"단체 사진
(15')",정해진 박스 영역으로 사람들 보내기,네모 박스 바닥 테이핑,,,
,추가 내용,,,,,,,,,
