,,,,,,,,,,
,"프로그램 준비 시간 & 정리 시간까지 포함해서 작성하기
(7월 20일까지)",,,,,,,,,
,,,,,,,,,,
,000 프로그램 큐시트,,,,,,,,,
,순서,시간,종료 예정 시간,장소,내용,세부 내용,필요 재료 (전부 적기),"담당자 
(프로그램 팀원 명)","필요 도우미 수 
(도우미 배정은 대표단에서 일괄 진행, 특별히 희망하는 도우미는 밑에 추가 내용에 작성해주세요!)","도우미 역할 
(최대한 구체적으로)"
,1,09:00,10:00,대강당,아이스 브레이킹 세팅,조별로 모일 수 있게 장소 세팅,의자,,5,의자 세팅
,,,,배드민턴 장,,,,,3,
,2,15:00,15:20,"11호관 전체
대강당, 배드민턴장, 태권도장, 11-201, 11-302, 11-303,  11-306-2, 11-401-1, 11-405-2(무용실), 11-502-1, 11-502-2, 11-602-1, 11-602-2",아이스 브레이킹,옆기소개,,아이스 브레이킹 팀,10,"２층을 제외한 각 층별 안내 및 활동 안내 및 도움
(B1, 3, 4, 5, 6층)"
,,,16:00,,,빙고판 활동,빙고 인쇄물,,,
,,,17:00,,,깃발 만들기,"깃발, 유성매직, 박스",,,
,3,17:00,18:00,11호관,뒷정리,뒤정리 및 다음 프로그램 세팅,의자,"권정현, 오티 팀",8,
,4,19:30,20:30,배드민턴장,깃발 및 구호 심사,"깃발 시상 진행(3명: 부위원장님, 운영대표 중1명, 기획팀장 중 1명)",,오티 팀,,
,5,21:00,21:30,대강당,시상식,,,아이스 브레이킹 팀,,
,추가 내용,,,,,,,,,
