시간,일정,장소,세부 내용,담당자,필요 도우미 수,배정된 도우미
PM 5:15,사이트오피스/보건실 세팅,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 5:30,사이트오피스/보건실 세팅,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 5:45,사이트오피스/보건실 세팅,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 6:00,운영위 식사,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 6:15,운영위 식사,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 6:30,운영위 식사,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 6:45,운영위 식사,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 7:00,운영위 식사,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 7:15,운영위 식사,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 7:30,운영위 식사,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 7:45,운영위 식사,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 8:00,PM 8:00,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 8:15,PM 8:15,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 8:30,PM 8:30,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 8:45,PM 8:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 9:00,PM 9:00,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 9:15,PM 9:15,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 9:30,PM 9:30,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 9:45,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 10:00,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 10:15,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 10:30,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 10:45,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 11:00,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 11:15,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 11:30,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 11:45,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
AM 12:00,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
AM 12:15,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
AM 12:30,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
AM 12:45,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
