시작시간,종료시간,일정,장소,세부 내용,담당자,필요 도우미 수,배정된 도우미
PM 5:15,PM  06:00,사이트오피스/보건실 세팅,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 6:00,PM  08:00,운영위 식사,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 8:00,PM  08:15,PM 8:00,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 8:15,PM  08:30,PM 8:15,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 8:30,PM  08:45,PM 8:30,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 8:45,PM  09:00,PM 8:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 9:00,PM  09:15,PM 9:00,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 9:15,PM  09:30,PM 9:15,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 9:30,PM  09:45,PM 9:30,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
PM 9:45,AM  01:00,PM 9:45,11-204,만들기 동아리 담당 운영위원과 함께 만들어봐야함(영상이 준비되어 있지만 이해 못하는 참가자들 위해),동아리 팀,2,-
